User,260,1210,356,318,593,3578,1,2028,296,1259,2396,2916,780,541,1265,2571,527,2762,1198,34
755,1,5,2,,4,4,2,2,,3,2,,5,2,5,4,2,5,,
5277,5,,,2,4,2,1,,,4,3,2,2,,2,,5,1,3,
1577,,,,5,2,,4,,,1,,1,4,4,1,1,2,3,1,3
4388,,3,,,,1,2,3,4,,,4,,3,5,,5,1,1,2
1202,4,3,4,1,4,1,,4,,1,5,1,,4,,3,5,5,,
3823,2,4,4,4,,,3,1,4,4,5,2,4,,1,,,3,,2
5448,4,,3,1,1,4,,5,2,,1,,,3,,1,,,5,2
5347,4,,,,3,2,2,,3,,,2,1,2,4,,1,3,5,
4117,5,1,,4,2,4,4,4,,1,2,,1,,5,,,,,5
2765,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,
5450,2,1,5,,,5,5,,,,,3,2,,,1,,2,1,4
139,3,5,2,,,,2,,1,,3,,3,,2,5,,,,2
1940,2,,,5,4,,4,5,,,,2,4,,3,,,,5,
3118,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,
4656,4,4,,,5,5,2,,3,5,,1,3,,2,,3,,3,1
4796,,,1,,3,2,,2,,1,5,,2,,,2,2,4,3,4
6037,,,,,,,2,,2,,2,,3,,3,4,,,,
3048,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5
4790,5,1,3,,,4,2,1,3,3,3,1,,,,2,,,,
4489,1,2,2,4,5,,2,3,2,2,1,,4,5,5,4,3,5,3,
